Match,Bookmaker,Outcome,Price
Aston Villa vs Tottenham Hotspur,Paddy Power,Aston Villa,1.3
Aston Villa vs Tottenham Hotspur,Paddy Power,Tottenham Hotspur,8.0
Aston Villa vs Tottenham Hotspur,Paddy Power,Draw,5.5
Aston Villa vs Tottenham Hotspur,Betfair,Aston Villa,1.37
Aston Villa vs Tottenham Hotspur,Betfair,Tottenham Hotspur,9.0
Aston Villa vs Tottenham Hotspur,Betfair,Draw,6.0
Aston Villa vs Tottenham Hotspur,Betfair,Aston Villa,1.38
Aston Villa vs Tottenham Hotspur,Betfair,Tottenham Hotspur,9.2
Aston Villa vs Tottenham Hotspur,Betfair,Draw,6.2
Aston Villa vs Tottenham Hotspur,Unibet,Aston Villa,1.36
Aston Villa vs Tottenham Hotspur,Unibet,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Unibet,Draw,5.6
Aston Villa vs Tottenham Hotspur,LiveScore Bet,Aston Villa,1.32
Aston Villa vs Tottenham Hotspur,LiveScore Bet,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,LiveScore Bet,Draw,5.5
Aston Villa vs Tottenham Hotspur,Casumo,Aston Villa,1.36
Aston Villa vs Tottenham Hotspur,Casumo,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Casumo,Draw,5.6
Aston Villa vs Tottenham Hotspur,LeoVegas,Aston Villa,1.33
Aston Villa vs Tottenham Hotspur,LeoVegas,Tottenham Hotspur,7.0
Aston Villa vs Tottenham Hotspur,LeoVegas,Draw,5.5
Aston Villa vs Tottenham Hotspur,Grosvenor,Aston Villa,1.36
Aston Villa vs Tottenham Hotspur,Grosvenor,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Grosvenor,Draw,5.6
Aston Villa vs Tottenham Hotspur,Virgin Bet,Aston Villa,1.32
Aston Villa vs Tottenham Hotspur,Virgin Bet,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Virgin Bet,Draw,5.5
Aston Villa vs Tottenham Hotspur,Betway,Aston Villa,1.33
Aston Villa vs Tottenham Hotspur,Betway,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Betway,Draw,5.75
Aston Villa vs Tottenham Hotspur,Smarkets,Aston Villa,1.37
Aston Villa vs Tottenham Hotspur,Smarkets,Tottenham Hotspur,8.8
Aston Villa vs Tottenham Hotspur,Smarkets,Draw,6.0
Aston Villa vs Tottenham Hotspur,Smarkets,Aston Villa,1.38
Aston Villa vs Tottenham Hotspur,Smarkets,Tottenham Hotspur,9.2
Aston Villa vs Tottenham Hotspur,Smarkets,Draw,6.2
Aston Villa vs Tottenham Hotspur,BoyleSports,Aston Villa,1.33
Aston Villa vs Tottenham Hotspur,BoyleSports,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,BoyleSports,Draw,5.0
Aston Villa vs Tottenham Hotspur,Sky Bet,Aston Villa,1.3
Aston Villa vs Tottenham Hotspur,Sky Bet,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Sky Bet,Draw,5.75
Aston Villa vs Tottenham Hotspur,888sport,Aston Villa,1.36
Aston Villa vs Tottenham Hotspur,888sport,Tottenham Hotspur,7.0
Aston Villa vs Tottenham Hotspur,888sport,Draw,5.5
Aston Villa vs Tottenham Hotspur,William Hill,Aston Villa,1.35
Aston Villa vs Tottenham Hotspur,William Hill,Tottenham Hotspur,7.0
Aston Villa vs Tottenham Hotspur,William Hill,Draw,5.0
Aston Villa vs Tottenham Hotspur,Matchbook,Aston Villa,1.37
Aston Villa vs Tottenham Hotspur,Matchbook,Tottenham Hotspur,9.0
Aston Villa vs Tottenham Hotspur,Matchbook,Draw,6.0
Aston Villa vs Tottenham Hotspur,Matchbook,Aston Villa,1.38
Aston Villa vs Tottenham Hotspur,Matchbook,Tottenham Hotspur,9.2
Aston Villa vs Tottenham Hotspur,Matchbook,Draw,6.2
Aston Villa vs Tottenham Hotspur,Betfair Sportsbook,Aston Villa,1.3
Aston Villa vs Tottenham Hotspur,Betfair Sportsbook,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Betfair Sportsbook,Draw,4.5
Aston Villa vs Tottenham Hotspur,Bet Victor,Aston Villa,1.33
Aston Villa vs Tottenham Hotspur,Bet Victor,Tottenham Hotspur,8.0
Aston Villa vs Tottenham Hotspur,Bet Victor,Draw,5.5
Aston Villa vs Tottenham Hotspur,Coral,Aston Villa,1.35
Aston Villa vs Tottenham Hotspur,Coral,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Coral,Draw,5.75
Aston Villa vs Tottenham Hotspur,Ladbrokes,Aston Villa,1.35
Aston Villa vs Tottenham Hotspur,Ladbrokes,Tottenham Hotspur,7.5
Aston Villa vs Tottenham Hotspur,Ladbrokes,Draw,5.5
Chelsea vs Manchester United,Paddy Power,Chelsea,1.4
Chelsea vs Manchester United,Paddy Power,Manchester United,7.0
Chelsea vs Manchester United,Paddy Power,Draw,4.75
Chelsea vs Manchester United,Smarkets,Chelsea,1.47
Chelsea vs Manchester United,Smarkets,Manchester United,7.8
Chelsea vs Manchester United,Smarkets,Draw,5.0
Chelsea vs Manchester United,Smarkets,Chelsea,1.48
Chelsea vs Manchester United,Smarkets,Manchester United,8.0
Chelsea vs Manchester United,Smarkets,Draw,5.2
Chelsea vs Manchester United,Betway,Chelsea,1.44
Chelsea vs Manchester United,Betway,Manchester United,6.0
Chelsea vs Manchester United,Betway,Draw,5.0
Chelsea vs Manchester United,Casumo,Chelsea,1.41
Chelsea vs Manchester United,Casumo,Manchester United,7.5
Chelsea vs Manchester United,Casumo,Draw,4.8
Chelsea vs Manchester United,Virgin Bet,Chelsea,1.38
Chelsea vs Manchester United,Virgin Bet,Manchester United,7.0
Chelsea vs Manchester United,Virgin Bet,Draw,4.7
Chelsea vs Manchester United,Unibet,Chelsea,1.42
Chelsea vs Manchester United,Unibet,Manchester United,7.5
Chelsea vs Manchester United,Unibet,Draw,4.8
Chelsea vs Manchester United,LiveScore Bet,Chelsea,1.38
Chelsea vs Manchester United,LiveScore Bet,Manchester United,7.0
Chelsea vs Manchester United,LiveScore Bet,Draw,4.7
Chelsea vs Manchester United,LeoVegas,Chelsea,1.38
Chelsea vs Manchester United,LeoVegas,Manchester United,7.0
Chelsea vs Manchester United,LeoVegas,Draw,4.75
Chelsea vs Manchester United,Grosvenor,Chelsea,1.41
Chelsea vs Manchester United,Grosvenor,Manchester United,7.5
Chelsea vs Manchester United,Grosvenor,Draw,4.8
Chelsea vs Manchester United,Betfair,Chelsea,1.47
Chelsea vs Manchester United,Betfair,Manchester United,7.8
Chelsea vs Manchester United,Betfair,Draw,5.1
Chelsea vs Manchester United,Betfair,Chelsea,1.48
Chelsea vs Manchester United,Betfair,Manchester United,8.0
Chelsea vs Manchester United,Betfair,Draw,5.2
Chelsea vs Manchester United,BoyleSports,Chelsea,1.4
Chelsea vs Manchester United,BoyleSports,Manchester United,6.5
Chelsea vs Manchester United,BoyleSports,Draw,4.75
Chelsea vs Manchester United,Sky Bet,Chelsea,1.4
Chelsea vs Manchester United,Sky Bet,Manchester United,6.5
Chelsea vs Manchester United,Sky Bet,Draw,5.0
Chelsea vs Manchester United,Bet Victor,Chelsea,1.4
Chelsea vs Manchester United,Bet Victor,Manchester United,7.0
Chelsea vs Manchester United,Bet Victor,Draw,5.0
Chelsea vs Manchester United,888sport,Chelsea,1.4
Chelsea vs Manchester United,888sport,Manchester United,6.5
Chelsea vs Manchester United,888sport,Draw,4.8
Chelsea vs Manchester United,William Hill,Chelsea,1.4
Chelsea vs Manchester United,William Hill,Manchester United,6.5
Chelsea vs Manchester United,William Hill,Draw,4.75
Chelsea vs Manchester United,Matchbook,Chelsea,1.47
Chelsea vs Manchester United,Matchbook,Manchester United,7.8
Chelsea vs Manchester United,Matchbook,Draw,5.1
Chelsea vs Manchester United,Matchbook,Chelsea,1.48
Chelsea vs Manchester United,Matchbook,Manchester United,8.0
Chelsea vs Manchester United,Matchbook,Draw,5.3
Chelsea vs Manchester United,Betfair Sportsbook,Chelsea,1.36
Chelsea vs Manchester United,Betfair Sportsbook,Manchester United,6.5
Chelsea vs Manchester United,Betfair Sportsbook,Draw,4.0
Chelsea vs Manchester United,Coral,Chelsea,1.4
Chelsea vs Manchester United,Coral,Manchester United,7.0
Chelsea vs Manchester United,Coral,Draw,5.0
Chelsea vs Manchester United,Ladbrokes,Chelsea,1.4
Chelsea vs Manchester United,Ladbrokes,Manchester United,7.0
Chelsea vs Manchester United,Ladbrokes,Draw,4.8
Everton vs Southampton,Paddy Power,Everton,1.36
